NAME OF STATE/UT,GENERAL(INCLUDING NRIS),SERVICE,EVM,POSTAL,VOTERS TURNOUT %
Andaman & Nicobar Islands,268940,420,190213,133,70.6660231660232
Andhra Pradesh,64887809,46329,48163703,304018,74.6413558304262
Arunachal Pradesh,757493,1851,581748,19080,79.1246128237005
Assam,18804981,32732,15083544,8843,80.1179368217363
Bihar,63723810,76350,35873132,19327,56.2576316423031
Chandigarh,613939,1275,453324,138,73.7080105459239
Chhattisgarh,17657867,6653,12254339,2623,69.3874614198404
Dadra & Nagar Haveli,196577,20,165286,38,84.0928396669329
Daman & Diu,111817,10,87228,5,78.0071002530695
Goa,1059953,824,814647,2793,77.0604943357558
Gujarat,40578577,24527,25703177,146478,63.6642336507081
Haryana,15995014,102219,11493217,8034,71.4486210145557
Himachal Pradesh,4744215,65856,3092923,7276,64.452250289029
Jammu & Kashmir,7123277,59852,3564418,7119,49.7211869646222
Jharkhand,20336193,13603,12982533,4092,63.8169788041118
Karnataka,46171176,38637,31025019,28564,67.2012738939238
Kerala,24251942,74708,17951637,35487,73.9399958481747
Lakshadweep,49821,101,43239,3,86.6191258363046
Madhya Pradesh,48090968,30333,29621413,26692,61.6111875279515
Maharashtra,80651094,147729,48669154,71249,60.3231596579074
Manipur,1764794,9575,1414487,644,79.7540421411781
Meghalaya,1565820,1421,1077986,309,68.8021178618987
Mizoram,697867,4303,426150,8812,61.9453978381304
Nagaland,1177596,5376,1039224,738,87.9109564723425
NCT OF Delhi,12706375,4789,8257636,17510,65.1014022004594
Odisha,29152514,43531,21503645,39079,73.7864460751448
Puducherry,900874,483,739750,303,82.1043160479144
Punjab,19527114,81047,13844306,5190,70.6312845962454
Rajasthan,42895854,98803,27034158,99618,63.1096463916435
Sikkim,370066,704,299567,10528,83.6354073954203
Tamil Nadu,55042876,71991,40555458,88824,73.7446794528235
Tripura,2385559,3263,2011740,16967,84.9249965045533
Uttar Pradesh,138672171,138386,81052079,66536,58.4383614280865
Uttarakhand,7041765,85292,4377071,18490,61.6742787380541
West Bengal,62740481,92632,51573497,89067,82.221875589707
